citation,auteur,
Nul ne possède d'autre droit que celui de toujours faire son devoir.,Auguste Comte,
Nul ne veut le bien public que quand il s'accorde avec le sien.,Jean-Jacques Rousseau,
"Nul ne voudrait mourir, nul ne voudrait renaître.",Voltaire,
Nul penseur n'a pu empêcher que des disciples dégradent sa pensée et que des adversaires la défigurent.,Edgar Morin,
Nul vainqueur ne croit au hasard.,Friedrich Nietzsche,
Nulle chose n'est compréhensible que par son histoire.,Pierre Teilhard De Chardin,
Nulle jouissance n'égale peut-être celle de se posséder dans la sagesse.,François Hertel,
"Nulle pierre ne peut être polie sans friction, nul homme ne peut parfaire son expérience sans épreuve.",Confucius,
"Nulle qualité humaine n'est plus intolérable ni, de fait, moins tolérée que l'intolérance.",Giacomo Leopardi,
"O Dieu ! Accordez-moi la chasteté, mais pas encore maintenant.",Saint Augustin D'Hippone,
"O le plus fou de tous les hommes, toi qui aspires à la sagesse!",Érasme,
"O Seigneur, s'il y a un Seigneur ; sauvez mon âme, si j'ai une âme.",Ernest Renan,
"O vertu, science sublime des âmes simples, faut-il donc tant de peines et d'appareils pour te connaître ?",Jean-Jacques Rousseau,
Objection contre la science : ce monde ne mérite pas d'être connu.,Emil Cioran,
Objectivité ne signifie pas impartialité mais universalité.,Raymond Aron,
"Observe dans la rue, à la tombée du soir, les visages des hommes et des femmes - quelle grâce et quelle douceur ils révèlent...",Léonard De Vinci,
Observer la démarche des plus belles Anglaises : on ne trouve en aucun pays du monde de plus beaux canards ni de plus beaux dindons...,Friedrich Nietzsche,
"Oedipeux : individu nourri au sein maternel jusqu'à l'âge de sa majorité, et qui garde de ce régime une saine corpulence et un visage joufflu.",Alain Finkielkraut,
"Oh ! Nature merveilleuse, profonde et énigmatique, tu donnes la parole aux hommes, mais l'éloquence du baiser aux jeunes filles !",Soren Kierkegaard,
"On a de tout avec l'argent, hormis des coeurs et des bons citoyens.",Jean-Jacques Rousseau,
On a découvert que les enfants à deux têtes sont loin d'avoir autant d'esprit que ceux qui n'en ont qu'une.,Georg Christoph Lichtenberg,
"On a défini l'ambassadeur un homme rusé, instruit et faux, envoyé aux nations étrangères pour mentir en faveur de la chose publique.",Denis Diderot,
"On a des mots pour dire une peine légère, Mais les grandes douleurs ne savent que se taire.",Sénèque,
On a deux vies. La deuxième commence quand on réalise qu'on n'en a qu'une.,Confucius,
"On a en vieillissant, un grand plaisir qui n'est pas à négliger, c'est de compter les impertinents et les impertinentes qu'on a vus mourir, et la foule de ridicules qui ont passé devant les yeux.",Voltaire,
"On a fait l'Amour aveugle, parce qu'il a de meilleurs yeux que nous.",Jean-Jacques Rousseau,
On a honte d'obéir au roi parce qu'il est le roi - alors on lui obéit parce qu'il est intelligent.,Soren Kierkegaard,
"On a longtemps cherché s'il y avait une langue naturelle et commune à tous les hommes ; sans doute, il y en a une ; et c'est celle que les enfants parlent avant de savoir parler.",Jean-Jacques Rousseau,
"On a mal regardé la vie, quand on n'a pas aussi vu la main qui tue en gant de velours.",Friedrich Nietzsche,
"On a plus perdu, quand on a perdu sa passion que quand on s'est perdu dans sa passion.",Soren Kierkegaard,
"On a reproché aux Allemands d'imiter tantôt les Français, tantôt les Anglais, mais c'est justement ce qu'ils peuvent faire de plus fin, car, réduits à leurs propres ressources, ils n'ont rien sensé à vous offrir.",Arthur Schopenhauer,
"On a trouvé, en bonne politique, le secret de faire mourir de faim ceux qui, en cultivant la terre, font vivre les autres.",Voltaire,
"On aime la vie, mais le néant ne laisse pas d'avoir du bon.",Voltaire,
On aime mieux la chasse que la prise.,Blaise Pascal,
On aime mieux son égal que son maître.,Voltaire,
On aime non dans la mesure où l'on possède mais dans la mesure où l'on attend.,Gustave Thibon,
"On aime ressentir l'influence bienfaisante d'un enfant, se mettre à son école, et, l'âme apaisée, l'appeler son maître avec reconnaissance.",Soren Kierkegaard,
On amène les gens courageux à une action en la leur exposant plus périlleuse qu'elle ne l'est.,Friedrich Nietzsche,
"On apprend tout aux hommes, la vertu, la religion.",Voltaire,
On ausculte une société par son haut ou par son bas.,André Glucksmann,
"On avale à pleine gorgée le mensonge qui nous flatte, et l'on boit goutte à goutte une vérité qui nous est amère.",Denis Diderot,
"On cesse d'être jeune au moment où l'on ne choisit plus ses ennemis, où l'on se contente de ceux qu'on a sous la main.",Emil Cioran,
"On cherche en ce monde à se dépasser pour se réaliser. Or, on ne se dépasse jamais sans un grand amour.",François Hertel,
"On cherche le bien sans le trouver, et l'on trouve le mal sans le chercher.",Démocrite D'Abdère,
On cherche le bien sans qu'on le trouve et l'on trouve le mal sans qu'on le cherche.,Démocrite D'Abdère,
"On commence à deviner ce que vaut quelqu'un quand son talent faiblit, quand il cesse de montrer ce qu'il peut. Le talent peut être un ornement, et l'ornement une cachette.",Friedrich Nietzsche,
On commence à se méfier des personnes très avisées dès qu'elles sont embarrassées.,Friedrich Nietzsche,
"On commence par dire : cela est impossible pour se dispenser de le tenter, et cela devient impossible, en effet, parce qu'on ne le tente pas.",Charles Fourier,
"On comprend les femmes comme la langue des oiseaux, d'intuition ou pas du tout.",Henri-Frédéric Amiel,
On compte plus facilement ses moutons que nommer ses amis.,Socrate,
On compte plus facilement ses moutons que ses amis.,Socrate,
"On connaîtra bien qu'il est malaisé, en ne travaillant que sur les ouvrages d'autrui, de faire des choses fort accomplies.",René Descartes,
On déclame contre les passions sans songer que c'est à leur flambeau que la philosophie allume le sien.,Marquis De Sade,
On demandait un jour à quelqu'un s'il y avait de vrais athées. Croyez-vous répondit-il qu'il y ait de vrais chrétiens ?,Denis Diderot,
"On démontre qu'une chose est conséquence d'une autre. Pour cela, on construit la conséquence avec l'hypothèse.",Edmond Goblot,
On devrait apprendre à discerner entre ce qu'un homme pense par lui-même et ce qu'il plagie.,Georg Christoph Lichtenberg,
On dit qu'une conviction est solide quand elle résiste à la conscience qu'elle est fausse.,Paul Valéry,
"On dit que le désir naît de la volonté, c'est le contraire, c'est du désir que naît la volonté. Le désir est fils de l'organisation.",Denis Diderot,
"On dit souvent que la force est impuissante à dompter la pensée ; mais pour que soit vrai, il faut qu'il y ait pensée. Là où les opinions irraisonnées tiennent lieu d'idées, la force peut tout.",Simone Weil,
On doit aimer son prochain comme soi-même ; ne pas lui faire ce que nous ne voudrions pas qu'il nous fît.,Confucius,
"On doit avoir pitié des uns et des autres, mais on doit avoir pour les uns une pitié qui naît de tendresse, et pour les autres une pitié qui naît de mépris.",Blaise Pascal,
On doit des égards aux vivants ; on ne doit aux morts que la vérité.,Voltaire,
"On doit exiger de moi que je cherche la vérité, mais non que je la trouve.",Denis Diderot,
"On doit obliger les hommes à leur façon, non à la nôtre.",Georg Christoph Lichtenberg,
"On doit punir, non pour punir, mais pour prévenir.",Sénèque,
On doit se dévouer à l'intérêt public.,Cicéron,
"On doit se ranger du côté des opprimés en toute circonstance, même quand ils ont tort, sans pourtant perdre de vue qu'ils sont pétris de la même boue que leurs oppresseurs.",Emil Cioran,
On écrit avec son intelligence et son inconscient.,Bernard-Henri Lévy,
On en arrive à l'état de siège total contre les milliards d'invisibles passe-frontières et passe-murailles.,Edgar Morin,
On en vient à aimer son désir et non plus l'objet de son désir.,Friedrich Nietzsche,
"On endurcit difficilement un bon coeur, il résiste aux raisonnements d'une mauvaise tête, et ses jouissances le consolent des faux brillants du bel-esprit.",Marquis De Sade,
"On entend aujourd'hui par fanatisme une folie religieuse, sombre et cruelle. C'est une maladie de l'esprit qui se gagne comme la petite vérole. Les livres la communiquent beaucoup moins que les assemblées et les discours.",Voltaire,
"On essaie en vain de rattraper sa vie. Le passé, présence hallucinante qui fut quand on veut la rejoindre.",François Hertel,
On est accessible à la flatterie dans la mesure où soi-même on se flatte.,Paul Valéry,
On est dédommagé de la perte de son innocence par celle de ses préjugés.,Denis Diderot,
"On est en train de réduire au réchauffement climatique le multidimensionnel problème écologique qui concerne toutes les pollutions et toutes les dégradations que subissent les humains et les sociétés, pas seulement la Nature.",Edgar Morin,
On est et on demeure esclave aussi longtemps que l'on n'est pas guéri de la manie d'espérer.,Emil Cioran,
"On est gai le matin, on est pendu le soir.",Voltaire,
On est heureux que quand on tient dans ses bras ce que l'on aime.,Montesquieu,
On est le plus en danger d'être écrasé lorsqu'on vient d'esquiver une voiture.,Friedrich Nietzsche,
On est ordinairement maître de donner à ses enfants ses connaissances ; on l'est encore plus de leur donner ses passions.,Montesquieu,
On est plus criminel quelquefois qu'on ne pense.,Voltaire,
On est souvent injuste en s'abstenant d'agir et non seulement en agissant.,Marc Aurèle,
On est souvent injuste par omission.,Marc Aurèle,
"On est toujours plus ou moins exilé : du ventre de sa mère, ensuite de toute la famille, puis du lieu, du souvenir.",Elie Wiesel,
On fait des phrases parce qu'on n'a pas d'idées.,Nicolas De Condorcet,
"On fait la guerre quand on veut, on la termine quand on peut.",Machiavel,
"On hait toujours ses ennemis, à quelques état de faiblesse qu'ils soient réduits.",Plutarque,
On jouit moins de tout ce qu'on obtient que de ce qu'on espère.,Jean-Jacques Rousseau,
"On la nomme (l'opinion) la reine du monde ; elle l'est si bien, que quand la raison veut la combattre, la raison est condamnée à mort.",Voltaire,
On maudit l'argent mal acquis ; on respecte l'argent bien gagné.,Ayn Rand,
"On ment bien de la bouche, mais avec la gueule qu'on fait en même temps, on dit la vérité quand même.",Friedrich Nietzsche,
On mesure l'importance d'un homme à la mesure de ceux qui s'en réclame.,Montesquieu,
On mesure l'intelligence d'un individu à la quantité d'incertitudes qu'il est capable de supporter.,Emmanuel Kant,
On meurt depuis toujours et cependant la mort n'a rien perdu de sa fraîcheur.,Emil Cioran,
On meurt deux fois en ce bas monde La première en perdant les faveurs de Vénus. Peu m'importe la seconde. C'est un bien quand on n'aime plus.,Voltaire,
On meurt en détail.,Voltaire,
"On meurt pour ce qui est fort, non pour celui qui est faible. Mourir pour ce qui est fort fait perdre à la mort son amertume.",Simone Weil,
"On meurt toujours trop tôt - ou trop tard. Et cependant la vie est là, terminée. Tu n'es rien d'autre que ta vie.",Jean-Paul Sartre,
On n'a jamais vu personne se repentir d'une bonne action.,Jean-Jacques Rousseau,
"On n'a pas le droit de provoquer la haine des individus ; en revanche, on a le droit de rire de toutes les croyances.",Elisabeth Badinter,
On n'a tant d'indulgence que quand on n'a plus d'amour.,Denis Diderot,
On n'acquiert tout pouvoir sur les autres qu'en renonçant à tout pouvoir sur soi-même.,Francis Bacon (philosophe),
On n'attaque pas seulement pour faire du mal à quelqu'un mais peut-être aussi pour le seul plaisir de prendre conscience de sa force.,Friedrich Nietzsche,
On n'échappe pas à l'obéissance à Dieu que pour choir dans la servitude.,Gustave Thibon,
On n'écrit pas parce qu'on a quelque chose à dire mais parce qu'on a envie de dire quelque chose.,Emil Cioran,
On n'est curieux qu'à proportion qu'on est instruit.,Jean-Jacques Rousseau,
On n'est libre qu'en étant seul.,Arthur Schopenhauer,
On n'est pas complètement homme tant qu'on ignore la femme.,Henri-Frédéric Amiel,
On n'est pas moins fautif en ne faisant pas ce qu'on doit faire qu'en faisant ce qu'on ne doit pas faire.,Marc Aurèle,
On n'est pas moins injuste en en faisant pas ce qu'on doit faire qu'en faisant ce qu'on ne doit pas faire.,Marc Aurèle,
On n'est pas privé de ce dont on n'a pas besoin.,Cicéron,
"On n'est pas toute sa vie à l'école, vient l'âge où il faut mettre en pratique.",Henri-Frédéric Amiel,
On n'est pas un homme tant qu'on n'a pas trouvé quelque chose pour quoi on accepterait de mourir. ,Jean-Paul Sartre,
On n'estime ici bas que ce qui rapporte ou ce qui délecte ; et de quel profit peut nous être la vertu des femmes !,Marquis De Sade,
"On n'habite pas un pays, on habite une langue. Une patrie, c'est cela et rien d'autre.",Emil Cioran,
"On naît poète, on devient orateur.",Cicéron,
On naît. On meurt. C'est mieux si entre les deux on a fait quelque chose.,Francis Bacon (philosophe),
On ne chemine jamais qu'entraîné par la force de son naturel.,Machiavel,
"On ne comprend pas ce qu'est la science de la chaussure, quand on ne comprend pas ce qu'est la science.",Platon,
On ne connaît pas complètement une science tant qu'on n'en sait pas l'histoire.,Auguste Comte,
On ne connaît personne sinon par l'amitié.,Saint Augustin D'Hippone,
On ne connaît plus parmi nous l'amitié qui naît des droits de l'hospitalité.,Voltaire,
On ne connaît qu'une apparence de soi ; on se trompe sur soi.,Edgar Morin,
On ne consulte que l'oreille parce qu'on manque de coeur.,Blaise Pascal,
"On ne demande plus à un homme s'il a de la probité, mais s'il a des talents.",Jean-Jacques Rousseau,
On ne déshonore point un homme qui sait mourir.,Jean-Jacques Rousseau,
"On ne désire pas les choses parce qu'elles sont belles, mais c'est parce qu'on les désire qu'elles sont belles.",Baruch Spinoza,
On ne devient homme qu'en se surpassant.,Aristote,
On ne devrait écrire des livres que pour y dire des choses qu'on n'oserait confier à personne.,Emil Cioran,
"On ne doit jamais écrire que de ce qu'on aime. L'oubli et le silence sont la punition qu'on inflige à ce qu'on a trouvé laid ou commun, dans la promenade à travers la vie.",Ernest Renan,
"On ne doit jamais laisser se produire un désordre pour éviter une guerre ; car on ne l'évite jamais, on la retarde à son désavantage.",Machiavel,
"On ne doit jamais penser à la distance, quelle qu'elle soit, qui nous sépare de la vertu.",Confucius,
"On ne doit point abuser de ses amis, ni rien exiger d'eux au-delà de ce qu'ils accordent volontiers.",Baltasar Gracian,
"On ne dort pas pour dormir, mais pour agir.",Georg Christoph Lichtenberg,
On ne fait jamais tant d'enfants que dans les temps de misère.,Denis Diderot,
On ne fait pas ce qu'on veut et cependant on est responsable de ce qu'on est.,Jean-Paul Sartre,
On ne fait pas de nouvelles découvertes dans le coeur humain.,Voltaire,
"On ne fonde pas le mariage sur « l'amour », on le fonde sur l'instinct de l'espèce, sur l'instinct de propriété (la femme et les enfants étant des propriétés), sur l'instinct de la domination qui sans cesse s'organise dans la famille en petite souveraineté.",Friedrich Nietzsche,
"On ne lèse personne par de simples paroles, seraient-elles fausses ; il suffit de ne pas y croire.",Emmanuel Kant,
On ne met pas son passé dans sa poche ; il faut avoir une maison pour l'y ranger.,Jean-Paul Sartre,
"On ne meurt pas de vieillesse, on vieillit de mourir.",Jean-Paul Sartre,
On ne parle de clonage qu'en termes biologiques. Or il a déjà été précédé par un clonage mental : le système de l'école permet de fabriquer des êtres qui deviennent une copie conforme les uns des autres.,Jean Baudrillard,
On ne parvient aux dignités que par mille indignités.,Francis Bacon (philosophe),
On ne pense réellement à soi et l'on est soi que quand on ne pense à rien.,Paul Valéry,
On ne perd d'autre existence que celle qu'on vit et on ne vit que celle qu'on perd.,Marc Aurèle,
"On ne peut apprendre la philosophie, on ne peut qu'apprendre à philosopher.",Emmanuel Kant,
"On ne peut battre son adversaire que par l'amour et non la haine. La haine est la forme la plus subtile de la violence. La haine blesse celui qui hait, et non le haï.",Gandhi,
On ne peut comprendre la vie qu'en regardant en arrière ; on ne peut la vivre qu'en regardant en avant.,Soren Kierkegaard,
On ne peut croire ce qui ne se comprend pas.,Pierre Abélard,
"On ne peut démontrer l'existence de Dieu, mais on ne peut s'empêcher de procéder suivant le principe de cette idée et d'accepter les devoirs comme des commandements divins.",Emmanuel Kant,
On ne peut désirer ce qu'on ne connaît pas.,Voltaire,
On ne peut distinguer le sublime de l'agréable que parce que le souvenir vous en serre le coeur.,Jean Baudrillard,
"On ne peut être juste tout seul, à l'être tout seul on cesse de l'être.",Maurice Merleau-Ponty,
On ne peut être normal et vivant à la fois.,Emil Cioran,
On ne peut être poète sans quelque folie.,Démocrite D'Abdère,
"On ne peut expliquer un paradoxe, non plus qu'un éternuement. D'ailleurs, le paradoxe n'est-il pas un éternuement de l'esprit ?",Emil Cioran,
On ne peut ni échapper au regard des dieux ni les contraindre.,Platon,
"On ne peut pas dire pourquoi. La raison de l'amour, c'est l'amour. La raison de l'amour, c'est qu'on aime.",Vladimir Jankélévitch,
On ne peut pas être différent tout seul.,Jean-François Revel,
On ne peut pas être sans crainte quand on inspire la crainte.,épicure,
"On ne peut pas sortir de l'ombre, même un peu, sans exciter la haine de beaucoup.",Paul Valéry,
On ne peut s'intéresser qu'à ce qu'on croit vrai.,Denis Diderot,
"On ne peut se mettre dans l'esprit que Dieu, qui est un être sage, ait mis une âme, surtout une âme bonne, dans un corps tout noir.",Montesquieu,
On ne peut se passer d'une méthode pour se mettre en quête de la vérité des choses.,René Descartes,
On ne peut vaincre la nature qu'en lui obéissant.,Francis Bacon (philosophe),
On ne peut vaincre le mal que par un autre mal.,Jean-Paul Sartre,
"On ne peut vivre dans le monde qu'avec des illusions ; et dès qu'on a un peu vécu, toutes les illusions s'envolent.",Voltaire,
"On ne réduira pas les fractures françaises, on les aggravera au contraire si on persiste à trouver des justifications à la haine dont la France est l'objet.",Alain Finkielkraut,
On ne reste parfois fidèle à une cause que parce que ses adversaires ne cessent d'être insipides.,Friedrich Nietzsche,
On ne reste philosophe qu'en se taisant.,Friedrich Nietzsche,
"On ne retient presque rien sans le secours des mots, et les mots ne suffisent presque jamais pour rendre précisément ce que l'on sent.",Denis Diderot,
"On ne révèle jamais le fond de soi-même, sauf quand on pleure ses parents.",Confucius,
On ne rit pas pour rire mais pour être applaudi.,Jean-Jacques Rousseau,
"On ne s'éprend que de l'apparence, mais on aime la vérité.",Emmanuel Kant,
"On ne sait de quoi se réjouir, ni de quoi s'affliger dans la vie. Le bien amène le mal, le mal amène le bien.",Denis Diderot,
On ne sait jamais avec qui l'on couche.,Paul Valéry,
"On ne sait jamais ce que le ciel veut ou ne veut pas, et il n'en sait peut-être rien lui-même.",Denis Diderot,
"On ne sait pas précisément où les anges se tiennent, si c'est dans l'air, dans le vide, dans les planètes : Dieu n'a pas voulu que nous fussions instruits.",Voltaire,
"On ne sait, si Dieu doit avoir plus de reconnaissance à l'égard du diable, ou le diable plus de reconnaissance à l'égard de Dieu, de ce que tout se soit ainsi passé.",Friedrich Nietzsche,
On ne saurait être l'homme de sa spécialité que si l'on est aussi sa victime.,Friedrich Nietzsche,
"On ne saurait stigmatiser par trop d'expressions le vice de ces hommes souples et trompeurs toujours prêts à parler comme vous le voulez, non comme la vérité l'exige.",Cicéron,
On ne se baigne jamais deux fois dans le même fleuve.,Héraclite D'Éphèse,
On ne se fait pas toujours une langue propre à son coeur.,Denis Diderot,
On ne se moque pas de qui rit de lui-même.,Sénèque,
"On ne souffre pas seul, on souffre toujours avec ceux qui souffrent à cause de votre souffrance.",Elie Wiesel,
On ne souffre qu'une fois - on vainc pour l'éternité.,Soren Kierkegaard,
On ne tombe amoureux que lorsqu'on a mesuré la profondeur des eaux dans lesquelles on va plonger.,Alain De Botton,
On ne trouve guère un grand esprit qui n'ait un grain de folie.,Sénèque,
On ne veut bien que ce qu'on imagine richement.,Gaston Bachelard,
On ne veut pas mourir. Chaque homme est proprement une suite d'idées qu'on ne veut pas interrompre.,Montesquieu,
On ne voit pas comment un homme pourrait dire à un autre : crois ce que je crois ou tu périras.,Voltaire,
On ne voit que ce qu'on regarde.,Maurice Merleau-Ponty,
On ne voit rien de juste ou d'injuste qui ne change de qualité en changeant de climat.,Blaise Pascal,
On obtient de l'ennemi bien plus de respect et de garanties quand on se rend les armes à la main.,Sénèque,
"On oublie sa faute quand on l'a confessée à un autre, mais d'ordinaire l'autre ne l'oublie pas.",Friedrich Nietzsche,
On paie mal un maître en ne restant toujours que l'élève.,Friedrich Nietzsche,
On pardonne au malheur.,Denis Diderot,
On parle bien plus volontiers de ce qu'on ignore. Car c'est à quoi l'on pense.,Paul Valéry,
On parle toujours mal quand on n'a rien à dire.,Voltaire,
"On passe les trois quarts de sa vie à vouloir, sans faire.",Denis Diderot,
"On pense aujourd'hui à la révolution, non comme à une solution des problèmes posés par l'actualité, mais comme à un miracle dispensant de résoudre les problèmes.",Simone Weil,
On peut connaître la vertu d'un homme en observant ses défauts.,Confucius,
"On peut déclamer sa maladie ou réciter la mort des autres, mais sa mort propre, on la meurt toujours avec naturel.",Vladimir Jankélévitch,
"On peut dire du monde que c'est en se désintégrant qu'il s'organise. Voici une idée typiquement complexe. Dans quel sens ? Dans le sens que nous devons unir ensemble deux notions qui, logiquement, semblent s'exclure : ordre et désordre.",Edgar Morin,
On peut dire quelque chose de spirituel pour tout et contre tout.,Georg Christoph Lichtenberg,
"On peut donner la virilité comme caractère à un personnage, mais il ne convient pas à une femme d'être virile ou trop intelligente.",Aristote,
On peut donner vie aux problèmes rien qu'en y pensant.,Alain De Botton,
On peut en savoir plus sur quelqu'un en une heure de jeu qu'en une année de conversation.,Platon,
"On peut être cruel en pardonnant, de même qu'on est parfois miséricordieux en punissant.",Saint Augustin D'Hippone,
On peut juger de la grandeur d'une nation et ses progrès moraux par la façon dont elle traite les animaux.,Gandhi,
On peut juger du caractère des hommes par leurs entreprises.,Voltaire,
On peut juger le coeur d'un homme par son traitement des animaux.,Emmanuel Kant,
"On peut presque tout faire sans lumière sauf écrire. Ecrire demande des lueurs. Vivre se suffit d'ombre, lire exige la clarté.",Michel Serres,
"On peut sur les vérités de fait, se passer de la démonstration si l'on sait se servir de l'expérience.",Roger Bacon,
"On peut toujours apprendre ce qu'on ne sait pas, non ce qu'on croit savoir.",Gustave Thibon,
On peut toujours faire quelque chose de ce qu'on a fait de nous.,Jean-Paul Sartre,
"On peut voir trois principaux objets dans l'étude de la vérité : l'un, de la découvrir, quand on la cherche, de la démontrer, quand on la possède, le dernier, de la discerner d'avec le faux quand on l'examine.",Blaise Pascal,
"On peut, sans s'avilir, s'abaisser sous les dieux, les craindre et les servir.",Voltaire,
"On peut, si on veut, ramener tout l'art de vivre à un bon usage du langage.",Simone Weil,
"On porte ses défauts comme on porte son corps, sans le sentir.",Arthur Schopenhauer,
On pourrait composer une diète pour la santé de l'entendement.,Georg Christoph Lichtenberg,
On prononce certains mots non pour qu'ils soient entendus mais parce qu'on juge important de s'exprimer.,Alain De Botton,
On reconnaît Dieu à ses oeuvres.,Cicéron,
"On reconnaît l'amitié à ses effets, gardons-nous des fausses caresses, et discernons les faux amis.",Henri-Frédéric Amiel,
"On refuse d'admettre le fait-même de la diversité culturelle; on préfère rejeter hors de la culture, dans la nature, tout ce qui ne se conforme pas à la norme sous laquelle on vit.",Claude Lévi-strauss,
On reproche souvent aux grands de n'avoir pas fait tout le bien qu'ils eussent pu dispenser. Ils pourraient bien répondre : songez seulement à tout le mal que nous eussions pu faire et dont nous nous sommes abstenus.,Georg Christoph Lichtenberg,
"On revient avec le crédit à une situation proprement féodale, celle d'une fraction de travail due d'avance au seigneur, au travail asservi.",Jean Baudrillard,
On risque autant à croire trop qu'à croire trop peu.,Denis Diderot,
On rit par occasion ; mais on n'est pas rieur par état.,Denis Diderot,
"On rougirait bientôt de ses décisions, si l'on voulait réfléchir sur les raisons pour lesquelles on se détermine.",Voltaire,
"On s'accommoderait aisément des chagrins, si la raison ou le foie n'y succombait.",Emil Cioran,
On s'attire la haine en faisant le bien comme en faisant le mal.,Machiavel,
On s'égare rarement en s'imposant soi-même des règles sévères.,Confucius,
"On s'est mis d'accord pour considérer qu'avoir beaucoup de critiques, c'est un succès.",Friedrich Nietzsche,
"On s'est servi de la confession, de la communion et de tous les sacrements pour commettre les crimes les plus horribles.",Voltaire,
"On sait depuis longtemps que ce sont les vents, ces messagers de l'amour végétal, qui portent aux plantes femelles le sperme des mâles. Ce n'est point en plein vent que les nôtres courent ordinairement de pareils risques !",Julien Offray De La Mettrie,
On se croit naturellement bien plus capable d'arriver au centre des choses que d'embrasser leur circonférence.,Blaise Pascal,
On se fait rarement rire seul parce qu'on se surprend difficilement soi-même.,Paul Valéry,
On se forme par l'esprit et les sentiments par les conversations.,Blaise Pascal,
"On se persuade mieux, pour l'ordinaire, par les raisons qu'on a soi-même trouvées, que par celles qui sont venues dans l'esprit des autres.",Blaise Pascal,
On se préfère toujours à ce qu'on aime.,René Descartes,
On se réfugie dans ce qu'on ignore. On s'y cache de ce qu'on sait. L'inconnu est l'espoir de l'espoir.,Paul Valéry,
On se refuse de croire aux sottises des hommes intelligents ; quelle entorse aux droits de l'homme !,Friedrich Nietzsche,
On serre toujours contre son sein celui qu'on aime et l'art d'écrire n'est que l'art d'allonger ses bras.,Denis Diderot,
On tait tout à l'homme qui se tait ; on lui rend son silence.,Francis Bacon (philosophe),
On trouve dans le monde plus souvent matière à s'instruire qu'à se consoler.,Georg Christoph Lichtenberg,
"On trouve des sociétés qui n'ont ni science, ni art, ni philosophie. Mais il n'y a jamais eu de sociétés sans religion.",Henri Bergson,
On unit les projets d'un être éternel à la durée d'un éphémère.,Denis Diderot,
"On va à l'école pour développer sa raison, pour réfléchir par soi-même, pour développer une pensée autonome.",Elisabeth Badinter,
"On veut la liberté aussi longtemps qu'on n'a pas la puissance ; mais si on a la puissance, on veut la suprématie.",Friedrich Nietzsche,
"On vit comme on pense, on vit petitement si l'on pense petitement, on vit librement si on pense librement.",Roger-Pol Droit,
On voit évidemment que toutes les religions ont emprunté tous leurs dogmes et tous leurs rites les unes des autres.,Voltaire,
On voit qu'un ami est sûr quand notre situation ne l'est pas.,Cicéron,
"On voudrait parfois être cannibale, moins pour le plaisir de dévorer tel ou tel que pour celui de le vomir.",Emil Cioran,
"Or le prodigieux est agréable ; j'en donne pour preuve que tous, lorsqu'ils font un récit, en rajoutent toujours, pour produire du plaisir.",Aristote,
"Orbán utilise un vocabulaire et une rhétorique nationalistes, il mobilise la haine contre l'étranger, mais cela n'a rien à voir avec le populisme...",Agnes Heller,
"Orgueil moderne : j'ai perdu l'amitié d'un homme que j'estimais, pour m'être acharné à lui répéter que j'étais plus dégénéré que lui...",Emil Cioran,
"Originellement nous ne pensons que pour agir. C'est dans le moule de l'action que notre intelligence a été coulée. La spéculation est un luxe, tandis que l'action est une nécessité.",Henri Bergson,
"Oserais-je exposer ici la plus grande, la plus importante, la plus utile règle de toute l'éducation ? Ce n'est pas de gagner du temps, c'est d'en perdre.",Jean-Jacques Rousseau,
Osez savoir ! Ayez le courage d'utiliser votre propre intelligence !,Emmanuel Kant,
"Ôter une mère à son fils, c'est lui ôter plus qu'on ne peut lui rendre.",Jean-Jacques Rousseau,
"Otez à nos savants le plaisir de se faire écouter, le savoir ne sera rien pour eux.",Jean-Jacques Rousseau,
"Otez la crainte de l'enfer à un chrétien, et vous lui ôterez sa croyance.",Denis Diderot,
Où commence le mystère finit la justice.,Edmund Burke,
Où donc un enfant dormirait-il avec plus de sécurité que dans la chambre de son père ?,Novalis,
Où est l'enfance est l'âge d'or.,Novalis,
Où est le bien ? Dans la volonté. Où est le mal ? Dans la volonté. Et ce qui n'est ni bien ni mal ? Dans ce qui ne dépend pas de la volonté.,épictète,
"Ou le luxe est l'effet des richesses, ou il les rend nécessaires ; il corrompt à la fois le riche et le pauvre, l'un par la possession, l'autre par la convoitise.",Jean-Jacques Rousseau,
"Où que l'on soit, l'amitié rend notre monde plus harmonieux.",William James,
"Où que tu ailles, vas-y de tout ton coeur.",Confucius,
"Oublie les injures, n'oublie jamais les bienfaits.",Confucius,
"Oui et non sont bien courts à dire : mais avant de les dire, il faut penser longtemps.",Baltasar Gracian,
"Paie le mal avec la justice, et la bonté avec la bonté.",Lao Tseu,
"Par des citations on affiche son érudition, on sacrifie son originalité.",Arthur Schopenhauer,
"Par l'union, les petits établissements s'accroissent ; par la discorde, les plus grands se renversent.",Sénèque,
"Par le mariage la femme devient libre ; par lui, l'homme perd sa liberté.",Emmanuel Kant,
"Par le mythe vulgaire du bonheur, on peut faire des hommes à peu près ce que l'on veut, et tout ce que l'on veut des femmes.",Paul Valéry,
"Par malheur, il y a dans chaque philosophe un mauvais génie qui répond, et répond à tout.",Paul Valéry,
"Par nature, l'homme est un animal propre et délicat.",Sénèque,
"Par nécessité, par inclination ou par plaisir, nous citons tous.",Ralph Waldo Emerson,
"Par peur d'être quelconque, j'ai fini par n'être rien.",Emil Cioran,
